excluded_event,excluded_magnitude,n_events,observed_hits,null_mean,p_value
2017-07-23,,10,5,1.56,0.006993006993006993
2017-08-15,,10,5,1.56,0.006993006993006993
2018-01-04,,10,6,1.56,0.000999000999000999
2018-03-05,,10,6,1.56,0.000999000999000999
2018-05-28,,10,5,1.56,0.006993006993006993
2018-09-15,,10,6,1.56,0.000999000999000999
2018-11-30,,10,6,1.56,0.000999000999000999
2019-05-18,,10,5,1.56,0.006993006993006993
2019-06-03,,10,5,1.56,0.006993006993006993
2020-02-07,,10,5,1.56,0.006993006993006993
2022-03-16,,10,6,1.56,0.000999000999000999
